Cars in stock in Georgia, delivery time 2-4 days (Krasnodar, Crimea, Rostov-on-Don, Moscow). Prices are in rubles at the current exchange rate, including all turnkey expenses.;;;;;;
No. ;Name ;VIN;Cost RUB.; Photos:;  Mileage km.  ;Production date
1;2021 Lexus UX, 200;JTHX3JBH2M2040913; 2 530 000 ;https://drive.google.com/drive/folders/1FR5s24AvCCFwheEODFLvBXko11UaIBwx?usp=sharing; 62 400 ;01.04.21
2;2021 KIA K5 AWD 1,6; 5XXG64J21MG051872; 1 800 000 ;https://drive.google.com/drive/folders/1vnofqhi60SeZPumd6qTSg2Z1zcqUi7SE?usp=sharing; 71 300 ;01.12.20
3;2021 KIA K5 1,6;5XXG64J20MG066301; 1 950 000 ;https://drive.google.com/drive/folders/1cxKqcrwCT3Thfbg_7xBaK-IbCpXbfJ67?usp=sharing; 85 300 ;01.02.21
4;2022 KIA K5, Gt Line 1,6;5XXG64J26NG143772; 1 920 000 ;https://drive.google.com/drive/folders/1o8lInW7TKO72m27HWOxpJAhoK6NxAz7b?usp=sharing; 89 000 ;01.02.22
5;2022 Chevrolet Equinox 1,5;3GNAXKEV2NL254391; 1 830 000 ;https://drive.google.com/drive/folders/1Hf_3NXGoBhXKrAQ8Be6COWo6eqNNm0gK?usp=sharing; 22 800 ;01.06.22
6;2022 Chevrolet Equinox AWD ;3GNAXUEV7NL295692; 1 830 000 ;https://drive.google.com/drive/folders/1fFYDIuWwluL7-cLQzgq6deQUzdFGW5XT?usp=sharing; 25 400 ;01.08.22
7;2021 Chevrolet Equinox 1,5;2GNAXKEV6M6147749; 1 490 000 ;https://drive.google.com/drive/folders/1ItE8WnTKXEjK4oxU7i1WJcYFBRfZ3hiB?usp=sharing; 99 000 ;01.01.21
8;2022 Chevrolet Malibu 1,5;1G1ZD5ST8NF204106; 1 420 000 ;https://drive.google.com/drive/folders/1QrIeum3tr8F73TqlI3F8bt9j7Wp3exud?usp=sharing; 52 800 ;01.09.22
9;2022 Chevrolet Malibu 1,5;1G1ZD5ST7NF142830; 1 320 000 ;https://drive.google.com/drive/folders/1SLPy7kA6U3GHvmaWMCv1aLV1hgJp78ht?usp=sharing; 65 000 ;01.04.22
10;2021 Chevrolet Trax 1,4;KL7CJPSB3MB359450; 1 260 000 ;https://drive.google.com/drive/folders/1AneTIy_JInzve71jMfyHRAaMmdmv0p9e?usp=sharing; 53 700 ;01.02.21
11;2022 KIA Sportage 2,0;KNDPRCA6XN7979842; 2 110 000 ;https://drive.google.com/drive/folders/1fndY8K0rjlF0JbqnNSl7KRF-kvpyfElP?usp=sharing; 76 000 ;01.05.21
12;2021 KIA Sportage 2,4;KNDPMCAC6N7951184; 2 010 000 ;https://drive.google.com/drive/folders/1vI6ngtd-7pS-Q6GZyx3cT1TAbLP02cJ2?usp=sharing; 80 000 ;01.03.21
13;2021 KIA Sportage 2,4;KNDPMCAC1N7022584; 2 030 000 ;https://drive.google.com/drive/folders/1ktbbcV03TNaxOo85hcxdRI12cf48PDlA?usp=sharing; 25 600 ;01.11.21
14;2021 Hyundai Elantra, Limited ;5NPLP4AG4MH039503; 1 770 000 ;https://drive.google.com/drive/folders/1T_WJeiasoMStwqfsrrKCQMrqhauDO2HV?usp=sharing; 70 400 ;01.04.21
15;2022 Hyundai Elantra, N Line  ;KMHLR4AF0NU363102; 1 880 000 ;https://drive.google.com/drive/folders/11m3ri2m9na7jmqV-Zf2gRwhoXTga4Ruo?usp=sharing; 44 600 ;01.04.21
16;2021 BMW 3 Series, 330XI   ;3MW5R7J0XM8B93091; 3 150 000 ;https://drive.google.com/drive/folders/1wbbCZ90K5ph9vunmCnuQJTxSx2sqxQ8n?usp=sharing; 79 000 ;01.03.21
