brand,brand_prefix,part_code,priority
Acura,AC,CMS,high
Acura,AC,CSF,high
Acura,AC,CSR,high
Acura,AC,EMB,high
Acura,AC,EMG,high
Acura,AC,EML,high
Acura,AC,EMR,high
Acura,AC,HGG,high
Acura,AC,IMG,high
Acura,AC,MAP,high
Acura,AC,OPM,high
Acura,AC,PCV,high
Acura,AC,THB,high
Acura,AC,VCG,high
Acura,AC,EXT,high
Acura,AC,FAN,high
Acura,AC,RAD,high
Acura,AC,TSH,high
Acura,AC,TST,high
Acura,AC,CAB,high
Acura,AC,RAB,high
Acura,AC,SBF,high
Acura,AC,SBR,high
Acura,AC,STM,high
Acura,AC,ABK,high
Acura,AC,ABR,high
Acura,AC,ABT,high
Acura,AC,FF,high
Acura,AC,ATF,high
Acura,AC,ATG,high
Acura,AC,ATP,high
Acura,AC,CLK,high
Acura,AC,CRB,high
Acura,AC,CVJ,high
Acura,AC,HUR,high
Acura,AC,TMM,high
Citroen,CI,CKP,high
Citroen,CI,CMP,high
Citroen,CI,CMS,high
Citroen,CI,CSF,high
Citroen,CI,CSR,high
Citroen,CI,EMB,high
Citroen,CI,EMG,high
Citroen,CI,EML,high
Citroen,CI,EMR,high
Citroen,CI,HGG,high
Citroen,CI,IMG,high
Citroen,CI,MAP,high
Citroen,CI,OPM,high
Citroen,CI,OPS,high
Citroen,CI,PCV,high
Citroen,CI,THB,high
Citroen,CI,VCG,high
Citroen,CI,EXT,high
Citroen,CI,FAN,high
Citroen,CI,RAD,high
Citroen,CI,TSH,high
Citroen,CI,TST,high
Citroen,CI,CAB,high
Citroen,CI,RAB,high
Citroen,CI,SBF,high
Citroen,CI,SBR,high
Citroen,CI,STM,high
Citroen,CI,ABK,high
Citroen,CI,ABR,high
Citroen,CI,ABT,high
Citroen,CI,ODP,high
Citroen,CI,ODW,high
Citroen,CI,ATF,high
Citroen,CI,ATG,high
Citroen,CI,ATP,high
Citroen,CI,CLK,high
Citroen,CI,CRB,high
Citroen,CI,CVB,high
Citroen,CI,CVJ,high
Citroen,CI,HUR,high
Citroen,CI,TMM,high
Honda,HO,CMS,high
Honda,HO,CSF,high
Honda,HO,CSR,high
Honda,HO,EMB,high
Honda,HO,EMG,high
Honda,HO,EML,high
Honda,HO,EMR,high
Honda,HO,IMG,high
Honda,HO,MAF,high
Honda,HO,OPM,high
Honda,HO,OPS,high
Honda,HO,PCV,high
Honda,HO,EXT,high
Honda,HO,FAN,high
Honda,HO,TSH,high
Honda,HO,TST,high
Honda,HO,RAB,high
Honda,HO,SBF,high
Honda,HO,SBR,high
Honda,HO,ABK,high
Honda,HO,ABR,high
Honda,HO,ABT,high
Honda,HO,ATG,high
Honda,HO,ATP,high
Honda,HO,CRB,high
Honda,HO,TMM,high
Mercedes-Benz,MB,CKP,high
Mercedes-Benz,MB,OPS,high
Mercedes-Benz,MB,RAB,high
Mercedes-Benz,MB,SBF,high
Mercedes-Benz,MB,SBR,high
Mercedes-Benz,MB,ODP,high
Mercedes-Benz,MB,ODW,high
Mercedes-Benz,MB,CVB,high
Opel,OP,CKP,high
Opel,OP,CMP,high
Opel,OP,CMS,high
Opel,OP,CSF,high
Opel,OP,CSR,high
Opel,OP,EMB,high
Opel,OP,EMG,high
Opel,OP,EML,high
Opel,OP,EMR,high
Opel,OP,IMG,high
Opel,OP,MAF,high
Opel,OP,OPS,high
Opel,OP,THB,high
Opel,OP,EXT,high
Opel,OP,FAN,high
Opel,OP,TSH,high
Opel,OP,CAB,high
Opel,OP,RAB,high
Opel,OP,SBF,high
Opel,OP,SBR,high
Opel,OP,STM,high
Opel,OP,FF,high
Opel,OP,ODP,high
Opel,OP,ODW,high
Opel,OP,ATG,high
Opel,OP,ATP,high
Opel,OP,CVB,high
Opel,OP,HUR,high
Opel,OP,TMM,high
Peugeot,PE,CKP,high
Peugeot,PE,CMP,high
Peugeot,PE,CMS,high
Peugeot,PE,EMB,high
Peugeot,PE,EMG,high
Peugeot,PE,EML,high
Peugeot,PE,EMR,high
Peugeot,PE,IMG,high
Peugeot,PE,MAF,high
Peugeot,PE,OPS,high
Peugeot,PE,THB,high
Peugeot,PE,CAB,high
Peugeot,PE,RAB,high
Peugeot,PE,SBF,high
Peugeot,PE,SBR,high
Peugeot,PE,STM,high
Peugeot,PE,FF,high
Peugeot,PE,ODP,high
Peugeot,PE,ODW,high
Peugeot,PE,ATG,high
Peugeot,PE,ATP,high
Peugeot,PE,CVB,high
Peugeot,PE,HUR,high
Peugeot,PE,TMM,high
Porsche,PO,CKP,high
Porsche,PO,CMP,high
Porsche,PO,CMS,high
Porsche,PO,CSF,high
Porsche,PO,CSR,high
Porsche,PO,EMB,high
Porsche,PO,EMG,high
Porsche,PO,EML,high
Porsche,PO,EMR,high
Porsche,PO,HGG,high
Porsche,PO,IMG,high
Porsche,PO,MAP,high
Porsche,PO,OPM,high
Porsche,PO,OPS,high
Porsche,PO,PCV,high
Porsche,PO,THB,high
Porsche,PO,VCG,high
Porsche,PO,EXT,high
Porsche,PO,FAN,high
Porsche,PO,RAD,high
Porsche,PO,TSH,high
Porsche,PO,TST,high
Porsche,PO,CAB,high
Porsche,PO,RAB,high
Porsche,PO,SBF,high
Porsche,PO,SBR,high
Porsche,PO,STM,high
Porsche,PO,ABK,high
Porsche,PO,ABR,high
Porsche,PO,ABT,high
Porsche,PO,FF,high
Porsche,PO,ODP,high
Porsche,PO,ODW,high
Porsche,PO,ATF,high
Porsche,PO,ATG,high
Porsche,PO,ATP,high
Porsche,PO,CLK,high
Porsche,PO,CRB,high
Porsche,PO,CVB,high
Porsche,PO,CVJ,high
Porsche,PO,HUR,high
Porsche,PO,TMM,high
Renault,RE,CKP,high
Renault,RE,CMP,high
Renault,RE,CMS,high
Renault,RE,CSF,high
Renault,RE,CSR,high
Renault,RE,EMB,high
Renault,RE,EMG,high
Renault,RE,EML,high
Renault,RE,EMR,high
Renault,RE,IMG,high
Renault,RE,MAF,high
Renault,RE,OPS,high
Renault,RE,THB,high
Renault,RE,FAN,high
Renault,RE,CAB,high
Renault,RE,RAB,high
Renault,RE,SBF,high
Renault,RE,SBR,high
Renault,RE,STM,high
Renault,RE,FF,high
Renault,RE,ODP,high
Renault,RE,ODW,high
Renault,RE,ATG,high
Renault,RE,ATP,high
Renault,RE,CVB,high
Renault,RE,HUR,high
Renault,RE,TMM,high
Volvo,VO,CKP,high
Volvo,VO,CMP,high
Volvo,VO,CMS,high
Volvo,VO,EMB,high
Volvo,VO,EMG,high
Volvo,VO,EML,high
Volvo,VO,EMR,high
Volvo,VO,IMG,high
Volvo,VO,MAF,high
Volvo,VO,OPS,high
Volvo,VO,THB,high
Volvo,VO,TSH,high
Volvo,VO,CAB,high
Volvo,VO,RAB,high
Volvo,VO,SBF,high
Volvo,VO,SBR,high
Volvo,VO,FF,high
Volvo,VO,ODP,high
Volvo,VO,ODW,high
Volvo,VO,CVB,high
Volvo,VO,TMM,high
Acura,AC,MUF,normal
Acura,AC,ACR,normal
Acura,AC,HLL,normal
Acura,AC,HLR,normal
Acura,AC,ML,normal
Acura,AC,MR,normal
Acura,AC,TLL,normal
Acura,AC,TLR,normal
Acura,AC,PSR,normal
Acura,AC,RCK,normal
Acura,AC,TER,normal
Acura,AC,TRD,normal
Acura,AC,FPR,normal
Acura,AC,FPU,normal
Acura,AC,INJ,normal
Acura,AC,BHF,normal
Acura,AC,BHR,normal
Acura,AC,BMC,normal
Acura,AC,CFLB,normal
Acura,AC,CFRB,normal
Acura,AC,TUR,normal
Acura,AC,ALT,normal
Acura,AC,BAT,normal
Acura,AC,STA,normal
Citroen,CI,ACR,normal
Citroen,CI,HLL,normal
Citroen,CI,HLR,normal
Citroen,CI,ML,normal
Citroen,CI,MR,normal
Citroen,CI,TLL,normal
Citroen,CI,TLR,normal
Citroen,CI,PSR,normal
Citroen,CI,RCK,normal
Citroen,CI,TEL,normal
Citroen,CI,TER,normal
Citroen,CI,TRD,normal
Citroen,CI,FPR,normal
Citroen,CI,FPU,normal
Citroen,CI,INJ,normal
Citroen,CI,BHF,normal
Citroen,CI,BHR,normal
Citroen,CI,TUR,normal
Citroen,CI,ALT,normal
Citroen,CI,BAT,normal
Citroen,CI,STA,normal
Honda,HO,ACR,normal
Honda,HO,HLL,normal
Honda,HO,HLR,normal
Honda,HO,ML,normal
Honda,HO,MR,normal
Honda,HO,TLL,normal
Honda,HO,TLR,normal
Honda,HO,PSR,normal
Honda,HO,RCK,normal
Honda,HO,TER,normal
Honda,HO,FPR,normal
Honda,HO,BHF,normal
Honda,HO,BHR,normal
Mercedes-Benz,MB,HLL,normal
Mercedes-Benz,MB,HLR,normal
Mercedes-Benz,MB,ML,normal
Mercedes-Benz,MB,MR,normal
Mercedes-Benz,MB,TLL,normal
Mercedes-Benz,MB,TLR,normal
Mercedes-Benz,MB,TER,normal
