brand,brand_prefix,part_code,priority
Acura,AC,CKP,high
Acura,AC,EMG,high
Acura,AC,CMS,high
Acura,AC,EMB,high
Acura,AC,CMP,high
Acura,AC,EML,high
Acura,AC,CSF,high
Acura,AC,CSR,high
Acura,AC,HGG,high
Acura,AC,THB,high
Acura,AC,MAP,high
Acura,AC,OPM,high
Acura,AC,PCV,high
Acura,AC,OPS,high
Acura,AC,IMG,high
Acura,AC,EMR,high
Acura,AC,EXT,high
Acura,AC,EXC,high
Acura,AC,VCG,high
Acura,AC,RAB,high
Acura,AC,SBS,high
Acura,AC,SDB,high
Acura,AC,STM,high
Acura,AC,FAN,high
Acura,AC,RAD,high
Acura,AC,TSH,high
Acura,AC,TST,high
Acura,AC,CAB,high
Acura,AC,SBF,high
Acura,AC,SBR,high
