brand,brand_prefix,part_code,priority
Acura,AC,CSF,high
Acura,AC,MAP,high
Acura,AC,OPM,high
Acura,AC,HGG,high
Acura,AC,EML,high
Acura,AC,PCV,high
Acura,AC,CSR,high
Acura,AC,EMR,high
Acura,AC,EMB,high
Acura,AC,EMG,high
Acura,AC,CMS,high
Acura,AC,IMG,high
Acura,AC,TSH,high
Acura,AC,FAN,high
Acura,AC,CAB,high
Acura,AC,STM,high
Acura,AC,EXT,high
Acura,AC,ABT,high
Acura,AC,SBR,high
Acura,AC,FF,high
Acura,AC,ATF,high
Acura,AC,ATP,high
Acura,AC,CVJ,high
Acura,AC,HUR,high
Acura,AC,TMM,high
Acura,AC,ATG,high
Acura,AC,CLK,high
Acura,AC,RAD,high
Acura,AC,CRB,high
Acura,AC,SBF,high
Acura,AC,RAB,high
Acura,AC,TST,high
Acura,AC,THB,high
Acura,AC,VCG,high
Acura,AC,ABK,high
BYD,BY,CKP,high
BYD,BY,CMP,high
BYD,BY,CMS,high
BYD,BY,CSF,high
BYD,BY,CSR,high
Acura,AC,ABR,high
BYD,BY,EMB,high
BYD,BY,EMG,high
BYD,BY,EML,high
BYD,BY,EMR,high
BYD,BY,HGG,high
BYD,BY,IMG,high
BYD,BY,MAF,high
BYD,BY,MAP,high
BYD,BY,OPM,high
BYD,BY,OPS,high
BYD,BY,PCV,high
BYD,BY,THB,high
BYD,BY,TK,high
BYD,BY,VCG,high
BYD,BY,EXC,high
BYD,BY,RAD,high
BYD,BY,SBR,high
BYD,BY,SPR,high
BYD,BY,STM,high
BYD,BY,ABK,high
BYD,BY,ABR,high
BYD,BY,ABT,high
BYD,BY,FF,high
BYD,BY,ODP,high
BYD,BY,ODW,high
BYD,BY,ATF,high
BYD,BY,ATG,high
BYD,BY,ATP,high
BYD,BY,CLK,high
BYD,BY,CMC,high
BYD,BY,CRB,high
BYD,BY,CVB,high
BYD,BY,CVJ,high
BYD,BY,HUR,high
BYD,BY,TMM,high
BYD,BY,EXT,high
BYD,BY,TSH,high
BYD,BY,TST,high
BYD,BY,CAB,high
BYD,BY,RAB,high
BYD,BY,SBF,high
BYD,BY,FAN,high
Buick,BU,CKP,high
Buick,BU,CMP,high
Buick,BU,CMS,high
Buick,BU,CSF,high
Buick,BU,CSR,high
Buick,BU,EMB,high
Buick,BU,EML,high
Buick,BU,EMR,high
Buick,BU,HGG,high
Buick,BU,MAF,high
Buick,BU,MAP,high
Buick,BU,OPM,high
Buick,BU,OPS,high
Buick,BU,PCV,high
Buick,BU,THB,high
Buick,BU,TK,high
Buick,BU,VCG,high
Buick,BU,SBF,high
Buick,BU,SPR,high
Buick,BU,STM,high
Buick,BU,ABK,high
Buick,BU,ABR,high
Buick,BU,ABT,high
Buick,BU,FF,high
Buick,BU,ODP,high
Buick,BU,ODW,high
Buick,BU,ATF,high
Buick,BU,ATG,high
Buick,BU,ATP,high
Buick,BU,CLK,high
Buick,BU,CRB,high
Buick,BU,CVJ,high
Buick,BU,HUR,high
Buick,BU,TMM,high
Cadillac,CA,CKP,high
Cadillac,CA,CMP,high
Cadillac,CA,CMS,high
Cadillac,CA,CSF,high
Cadillac,CA,CSR,high
Cadillac,CA,EMB,high
Cadillac,CA,HGG,high
Cadillac,CA,MAP,high
Cadillac,CA,OPM,high
Cadillac,CA,OPS,high
Cadillac,CA,PCV,high
Cadillac,CA,THB,high
Cadillac,CA,VCG,high
Cadillac,CA,EXT,high
Cadillac,CA,FAN,high
Cadillac,CA,RAD,high
Cadillac,CA,TSH,high
Cadillac,CA,TST,high
Cadillac,CA,CAB,high
Cadillac,CA,RAB,high
Cadillac,CA,SBF,high
Cadillac,CA,SBR,high
Cadillac,CA,SPR,high
Cadillac,CA,STM,high
Cadillac,CA,ABK,high
Cadillac,CA,ABR,high
Cadillac,CA,ABT,high
Cadillac,CA,FF,high
Cadillac,CA,ODP,high
Cadillac,CA,ODW,high
Cadillac,CA,ATF,high
Cadillac,CA,ATG,high
Cadillac,CA,ATP,high
Cadillac,CA,CLK,high
Cadillac,CA,CRB,high
Cadillac,CA,CVJ,high
Cadillac,CA,HUR,high
Cadillac,CA,TMM,high
Changan,CG,CKP,high
Changan,CG,CMP,high
Changan,CG,CMS,high
Changan,CG,CSF,high
Changan,CG,CSR,high
Changan,CG,EMB,high
Changan,CG,EMG,high
Changan,CG,EML,high
Changan,CG,EMR,high
Changan,CG,HGG,high
Changan,CG,IMG,high
Changan,CG,MAF,high
Changan,CG,MAP,high
Changan,CG,OPM,high
Changan,CG,OPS,high
Changan,CG,PCV,high
Changan,CG,THB,high
Changan,CG,TK,high
Changan,CG,VCG,high
Changan,CG,EXT,high
Changan,CG,FAN,high
Changan,CG,RAD,high
Changan,CG,TSH,high
Changan,CG,TST,high
Changan,CG,CAB,high
Changan,CG,RAB,high
Changan,CG,SBF,high
Changan,CG,SBR,high
Changan,CG,SPR,high
Changan,CG,STM,high
Changan,CG,ABK,high
Changan,CG,ABR,high
Changan,CG,ABT,high
Changan,CG,ODP,high
Changan,CG,ODW,high
Changan,CG,ATF,high
Changan,CG,ATG,high
Changan,CG,ATP,high
Changan,CG,CLK,high
Changan,CG,CRB,high
Changan,CG,CVB,high
Changan,CG,CVJ,high
Changan,CG,HUR,high
Changan,CG,TMM,high
Chery,CY,CKP,high
Chery,CY,CMP,high
Chery,CY,CMS,high
Chery,CY,CSF,high
Chery,CY,CSR,high
Chery,CY,EMB,high
Chery,CY,EMG,high
Chery,CY,EML,high
Chery,CY,EMR,high
Chery,CY,HGG,high
Chery,CY,IMG,high
Chery,CY,MAF,high
Chery,CY,MAP,high
Chery,CY,OPM,high
Chery,CY,OPS,high
Chery,CY,PCV,high
Chery,CY,THB,high
Chery,CY,TK,high
Chery,CY,VCG,high
Chery,CY,EXT,high
Chery,CY,FAN,high
Chery,CY,RAD,high
Chery,CY,TSH,high
Chery,CY,TST,high
Chery,CY,CAB,high
Chery,CY,RAB,high
Chery,CY,SBF,high
Chery,CY,SBR,high
Chery,CY,SPR,high
Chery,CY,STM,high
Chery,CY,ABK,high
Chery,CY,ABR,high
Chery,CY,ABT,high
Chery,CY,ODP,high
Chery,CY,ODW,high
Chery,CY,ATF,high
Chery,CY,ATG,high
Chery,CY,ATP,high
Chery,CY,CLK,high
Chery,CY,CRB,high
Chery,CY,CVB,high
Chery,CY,CVJ,high
Chery,CY,HUR,high
Chery,CY,TMM,high
Chevrolet,CH,CKP,high
Chevrolet,CH,CMP,high
Chevrolet,CH,CMS,high
Chevrolet,CH,EMB,high
Chevrolet,CH,EML,high
Chevrolet,CH,EMR,high
Chevrolet,CH,MAF,high
Chevrolet,CH,OPS,high
Chevrolet,CH,THB,high
Chevrolet,CH,TSH,high
Chevrolet,CH,CAB,high
Chevrolet,CH,RAB,high
Chevrolet,CH,SBF,high
Chevrolet,CH,SBR,high
Chevrolet,CH,STM,high
Chevrolet,CH,FF,high
Chevrolet,CH,ODP,high
Chevrolet,CH,ODW,high
Chevrolet,CH,HUR,high
Chevrolet,CH,TMM,high
Buick,BU,SBR,high
Buick,BU,EXT,high
Buick,BU,FAN,high
Buick,BU,RAD,high
Buick,BU,TSH,high
Buick,BU,TST,high
Buick,BU,CAB,high
Buick,BU,RAB,high
Chrysler,CR,CMS,high
Chrysler,CR,CSF,high
Chrysler,CR,EMB,high
Chrysler,CR,CSR,high
Chrysler,CR,EML,high
Chrysler,CR,EMR,high
Chrysler,CR,HGG,high
Chrysler,CR,MAF,high
Chrysler,CR,OPM,high
Chrysler,CR,OPS,high
Chrysler,CR,PCV,high
Chrysler,CR,THB,high
Chrysler,CR,TK,high
Chrysler,CR,VCG,high
Chrysler,CR,EXT,high
Chrysler,CR,FAN,high
Chrysler,CR,RAD,high
Chrysler,CR,TSH,high
Chrysler,CR,SL,high
Chrysler,CR,STM,high
Chrysler,CR,ABK,high
Chrysler,CR,ABR,high
Chrysler,CR,ABT,high
Chrysler,CR,FF,high
Chrysler,CR,ODW,high
Chrysler,CR,ATF,high
Chrysler,CR,ATG,high
Chrysler,CR,ATP,high
Chrysler,CR,CLK,high
Chrysler,CR,CRB,high
Chrysler,CR,CVJ,high
Chrysler,CR,HUR,high
Chrysler,CR,TMM,high
Chrysler,CR,SPF,high
Chrysler,CR,SPR,high
Chrysler,CR,SR,high
Chrysler,CR,TST,high
Chrysler,CR,CAB,high
Chrysler,CR,SBF,high
Chrysler,CR,RAB,high
Chrysler,CR,SBR,high
Citroen,CI,CMP,high
Citroen,CI,CSF,high
Citroen,CI,CKP,high
Citroen,CI,CMS,high
Citroen,CI,EMR,high
Citroen,CI,CSR,high
Citroen,CI,EML,high
Citroen,CI,EMG,high
Citroen,CI,EMB,high
BMW,BM,ODW,high
Citroen,CI,THB,high
Citroen,CI,OPM,high
Citroen,CI,VCG,high
Citroen,CI,HGG,high
BMW,BM,SBR,high
Citroen,CI,PCV,high
Citroen,CI,MAP,high
Citroen,CI,OPS,high
BMW,BM,CVB,high
Citroen,CI,CAB,high
Citroen,CI,ABR,high
Citroen,CI,ABT,high
Citroen,CI,ODP,high
Citroen,CI,ODW,high
Citroen,CI,ATF,high
Citroen,CI,ATG,high
Citroen,CI,ATP,high
Citroen,CI,CLK,high
Citroen,CI,CRB,high
Citroen,CI,CVB,high
Citroen,CI,CVJ,high
Citroen,CI,HUR,high
Citroen,CI,TMM,high
Dodge,DG,CMS,high
Dodge,DG,CSF,high
Dodge,DG,CSR,high
Dodge,DG,EMB,high
Dodge,DG,EML,high
Dodge,DG,EMR,high
Dodge,DG,OPM,high
Dodge,DG,OPS,high
Dodge,DG,PCV,high
Dodge,DG,THB,high
Dodge,DG,VCG,high
Dodge,DG,EXT,high
Dodge,DG,FAN,high
Dodge,DG,RAD,high
Dodge,DG,TSH,high
Dodge,DG,TST,high
Dodge,DG,CAB,high
Dodge,DG,RAB,high
Dodge,DG,SBF,high
Dodge,DG,SBR,high
Dodge,DG,SPR,high
Dodge,DG,STM,high
Dodge,DG,ABK,high
Dodge,DG,ABR,high
Dodge,DG,ABT,high
Dodge,DG,ATF,high
Dodge,DG,ATG,high
Dodge,DG,ATP,high
Dodge,DG,CLK,high
Dodge,DG,CRB,high
Dodge,DG,CVJ,high
Dodge,DG,HUR,high
Dodge,DG,TMM,high
Citroen,CI,IMG,high
Citroen,CI,EXT,high
Citroen,CI,RAB,high
Citroen,CI,SBF,high
Citroen,CI,RAD,high
Citroen,CI,TSH,high
Fiat,FI,CKP,high
Fiat,FI,CMP,high
Fiat,FI,CMS,high
Fiat,FI,CSF,high
Fiat,FI,CSR,high
Citroen,CI,SBR,high
Citroen,CI,FAN,high
Citroen,CI,TST,high
Citroen,CI,STM,high
Fiat,FI,EMB,high
Citroen,CI,ABK,high
Fiat,FI,EMG,high
Fiat,FI,EML,high
Fiat,FI,EMR,high
Fiat,FI,HGG,high
Fiat,FI,IMG,high
Fiat,FI,MAF,high
Fiat,FI,MAP,high
Fiat,FI,OPM,high
Fiat,FI,OPS,high
Fiat,FI,CAB,high
Fiat,FI,STM,high
Fiat,FI,ABK,high
Fiat,FI,ABR,high
Fiat,FI,ABT,high
Fiat,FI,ODP,high
Fiat,FI,ODW,high
Fiat,FI,ATF,high
Fiat,FI,ATG,high
Fiat,FI,ATP,high
Fiat,FI,CLK,high
Fiat,FI,CRB,high
Fiat,FI,CVB,high
Fiat,FI,CVJ,high
Fiat,FI,HUR,high
Fiat,FI,TMM,high
Fiat,FI,PCV,high
Fiat,FI,THB,high
Fiat,FI,RAB,high
Fiat,FI,VCG,high
Fiat,FI,SBF,high
Fiat,FI,SBR,high
Fiat,FI,EXT,high
Fiat,FI,FAN,high
Fiat,FI,RAD,high
Fiat,FI,TSH,high
Fiat,FI,TST,high
Ford,FO,CMS,high
Ford,FO,EMB,high
Ford,FO,EML,high
Ford,FO,EMR,high
GMC,GM,CKP,high
GMC,GM,CMP,high
GMC,GM,CMS,high
GMC,GM,CSF,high
GMC,GM,CSR,high
GMC,GM,EMB,high
GMC,GM,EMG,high
GMC,GM,EML,high
GMC,GM,EMR,high
GMC,GM,HGG,high
GMC,GM,MAP,high
GMC,GM,OPM,high
GMC,GM,OPS,high
GMC,GM,PCV,high
GMC,GM,THB,high
GMC,GM,VCG,high
GMC,GM,EXT,high
GMC,GM,FAN,high
GMC,GM,RAD,high
GMC,GM,TSH,high
GMC,GM,TST,high
GMC,GM,CAB,high
GMC,GM,RAB,high
GMC,GM,SBF,high
GMC,GM,SBR,high
