brand,brand_prefix,part_code,priority
Acura,AC,OPM,high
Acura,AC,MAP,high
Acura,AC,HGG,high
Acura,AC,CMS,high
Acura,AC,IMG,high
Acura,AC,EMG,high
Acura,AC,EMR,high
Acura,AC,EMB,high
Acura,AC,CSF,high
Acura,AC,CSR,high
Acura,AC,PCV,high
Acura,AC,EML,high
Acura,AC,VCG,high
Acura,AC,THB,high
Acura,AC,EXT,high
Acura,AC,FAN,high
Acura,AC,RAD,high
Acura,AC,TSH,high
Acura,AC,TST,high
Acura,AC,CAB,high
Acura,AC,RAB,high
Acura,AC,SBF,high
Acura,AC,SBR,high
Acura,AC,STM,high
Acura,AC,ABK,high
Acura,AC,ABR,high
Acura,AC,ABT,high
Acura,AC,ATP,high
Acura,AC,ATG,high
Acura,AC,ATF,high
Acura,AC,FF,high
Acura,AC,CLK,high
Acura,AC,CRB,high
Acura,AC,TMM,high
Acura,AC,CVJ,high
Acura,AC,HUR,high
BYD,BY,CKP,high
BYD,BY,CMS,high
BYD,BY,CMP,high
BYD,BY,CSF,high
BYD,BY,EMB,high
BYD,BY,CSR,high
BYD,BY,EMG,high
BYD,BY,EML,high
BYD,BY,IMG,high
BYD,BY,EMR,high
BYD,BY,HGG,high
BYD,BY,OPM,high
BYD,BY,OPS,high
BYD,BY,MAF,high
BYD,BY,MAP,high
BYD,BY,PCV,high
BYD,BY,THB,high
BYD,BY,TK,high
BYD,BY,VCG,high
BYD,BY,EXC,high
BYD,BY,EXT,high
BYD,BY,FAN,high
BYD,BY,TST,high
BYD,BY,RAD,high
BYD,BY,TSH,high
BYD,BY,SBF,high
BYD,BY,CAB,high
BYD,BY,RAB,high
BYD,BY,SPR,high
BYD,BY,SBR,high
BYD,BY,STM,high
BYD,BY,ABK,high
BYD,BY,ABR,high
BYD,BY,FF,high
BYD,BY,ODW,high
BYD,BY,ABT,high
BYD,BY,ATF,high
BYD,BY,ODP,high
BYD,BY,ATG,high
BYD,BY,ATP,high
BYD,BY,CLK,high
BYD,BY,CRB,high
BYD,BY,CMC,high
BYD,BY,CVJ,high
BYD,BY,CVB,high
BYD,BY,HUR,high
BYD,BY,TMM,high
Buick,BU,CMP,high
Buick,BU,CKP,high
Buick,BU,CMS,high
Buick,BU,CSF,high
Buick,BU,CSR,high
Buick,BU,EMB,high
Buick,BU,EML,high
Buick,BU,HGG,high
Buick,BU,EMR,high
Buick,BU,MAF,high
Buick,BU,MAP,high
Buick,BU,OPM,high
Buick,BU,OPS,high
Buick,BU,PCV,high
Buick,BU,THB,high
Buick,BU,EXT,high
Buick,BU,VCG,high
Buick,BU,TK,high
Buick,BU,FAN,high
Buick,BU,RAD,high
Buick,BU,TST,high
Buick,BU,TSH,high
Buick,BU,CAB,high
Buick,BU,RAB,high
Buick,BU,SBF,high
Buick,BU,SPR,high
Buick,BU,SBR,high
Buick,BU,FF,high
Buick,BU,STM,high
Buick,BU,ABT,high
Buick,BU,ABR,high
Buick,BU,ABK,high
Buick,BU,ODP,high
Buick,BU,ODW,high
Buick,BU,ATF,high
Buick,BU,ATG,high
Buick,BU,ATP,high
Buick,BU,CVJ,high
Buick,BU,CLK,high
Buick,BU,CRB,high
Buick,BU,HUR,high
Buick,BU,TMM,high
Cadillac,CA,CKP,high
Cadillac,CA,CMP,high
Cadillac,CA,CMS,high
Cadillac,CA,CSF,high
Cadillac,CA,CSR,high
Cadillac,CA,EMB,high
Cadillac,CA,HGG,high
Cadillac,CA,MAP,high
Cadillac,CA,OPM,high
Cadillac,CA,OPS,high
Cadillac,CA,PCV,high
Cadillac,CA,THB,high
Cadillac,CA,VCG,high
Cadillac,CA,FAN,high
Cadillac,CA,EXT,high
Cadillac,CA,RAD,high
Cadillac,CA,TSH,high
Cadillac,CA,TST,high
Cadillac,CA,RAB,high
Cadillac,CA,SBF,high
Cadillac,CA,SPR,high
Cadillac,CA,STM,high
Cadillac,CA,SBR,high
Cadillac,CA,ABR,high
Cadillac,CA,ABK,high
Cadillac,CA,ABT,high
Cadillac,CA,ODP,high
Cadillac,CA,ODW,high
Cadillac,CA,CAB,high
Cadillac,CA,FF,high
Cadillac,CA,ATF,high
Cadillac,CA,CLK,high
Cadillac,CA,ATP,high
Cadillac,CA,ATG,high
Cadillac,CA,CRB,high
Cadillac,CA,CVJ,high
Cadillac,CA,HUR,high
Cadillac,CA,TMM,high
Changan,CG,CSR,high
Changan,CG,CMS,high
Changan,CG,CKP,high
Changan,CG,CMP,high
Changan,CG,CSF,high
Changan,CG,EMB,high
Changan,CG,EMG,high
Changan,CG,EML,high
Changan,CG,EMR,high
Changan,CG,HGG,high
Changan,CG,MAP,high
Changan,CG,IMG,high
Changan,CG,OPM,high
Changan,CG,MAF,high
Changan,CG,OPS,high
Changan,CG,PCV,high
Changan,CG,THB,high
Changan,CG,TK,high
Changan,CG,VCG,high
Changan,CG,EXT,high
Changan,CG,RAD,high
Changan,CG,FAN,high
Changan,CG,TSH,high
Changan,CG,CAB,high
Changan,CG,SBF,high
Changan,CG,TST,high
Changan,CG,SBR,high
Changan,CG,RAB,high
Changan,CG,SPR,high
Changan,CG,STM,high
Changan,CG,ABK,high
Changan,CG,ABT,high
Changan,CG,ABR,high
Changan,CG,ODW,high
Changan,CG,ODP,high
Changan,CG,ATF,high
Changan,CG,ATG,high
Changan,CG,CLK,high
Changan,CG,ATP,high
Changan,CG,CRB,high
Changan,CG,CVB,high
Changan,CG,CVJ,high
Changan,CG,HUR,high
Chery,CY,CMP,high
Changan,CG,TMM,high
Chery,CY,CKP,high
Chery,CY,CMS,high
Chery,CY,CSF,high
Chery,CY,CSR,high
