brand,brand_prefix,part_code,part_name,category,group,priority,suggested_sources
Acura,AC,CKP,Датчик положения коленвала,Двигатель,Датчики,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru (public_index_external_catalog); needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export); avtoto.ru (public_index_spa_navigation)
Acura,AC,CMP,Датчик положения распредвала,Двигатель,Датчики,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru (public_index_external_catalog); needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export); avtoto.ru (public_index_spa_navigation)
Acura,AC,CMS,Сальник распредвала,Двигатель,Сальники,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru (public_index_external_catalog); needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export); avtoto.ru (public_index_spa_navigation)
Acura,AC,CSF,Сальник коленвала передний,Двигатель,Сальники,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru (public_index_external_catalog); needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export); avtoto.ru (public_index_spa_navigation)
Acura,AC,CSR,Сальник коленвала задний,Двигатель,Сальники,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru (public_index_external_catalog); needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export); avtoto.ru (public_index_spa_navigation)
Acura,AC,EMB,Опора двигателя задняя,Двигатель,Опоры,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru (public_index_external_catalog); needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export); avtoto.ru (public_index_spa_navigation)
Acura,AC,EMG,Прокладка выпускного коллектора,Двигатель,Прокладки,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru (public_index_external_catalog); needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export); avtoto.ru (public_index_spa_navigation)
Acura,AC,EML,Опора двигателя левая,Двигатель,Опоры,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru (public_index_external_catalog); needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export); avtoto.ru (public_index_spa_navigation)
Acura,AC,EMR,Опора двигателя правая,Двигатель,Опоры,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru (public_index_external_catalog); needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export); avtoto.ru (public_index_spa_navigation)
Acura,AC,HGG,Прокладка ГБЦ,Двигатель,Прокладки,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru (public_index_external_catalog); needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export); avtoto.ru (public_index_spa_navigation)
Acura,AC,IMG,Прокладка впускного коллектора,Двигатель,Прокладки,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru (public_index_external_catalog); needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export); avtoto.ru (public_index_spa_navigation)
Acura,AC,MAP,Датчик абсолютного давления,Двигатель,Датчики,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru (public_index_external_catalog); needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export); avtoto.ru (public_index_spa_navigation)
