brand,brand_prefix,part_code,part_name,category,group,priority,suggested_sources
Acura,AC,CKP,Датчик положения коленвала,Двигатель,Датчики,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,CMP,Датчик положения распредвала,Двигатель,Датчики,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,CMS,Сальник распредвала,Двигатель,Сальники,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,CSF,Сальник коленвала передний,Двигатель,Сальники,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,CSR,Сальник коленвала задний,Двигатель,Сальники,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,EMB,Опора двигателя задняя,Двигатель,Опоры,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,EMG,Прокладка выпускного коллектора,Двигатель,Прокладки,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,EML,Опора двигателя левая,Двигатель,Опоры,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,EMR,Опора двигателя правая,Двигатель,Опоры,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,HGG,Прокладка ГБЦ,Двигатель,Прокладки,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,IMG,Прокладка впускного коллектора,Двигатель,Прокладки,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,MAP,Датчик абсолютного давления,Двигатель,Датчики,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,OPM,Масляный насос,Двигатель,Смазка,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,OPS,Датчик давления масла,Двигатель,Датчики,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,PCV,Клапан вентиляции картерных газов,Двигатель,Вентиляция,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,THB,Дроссельная заслонка,Двигатель,Впуск,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,VCG,Прокладка клапанной крышки,Двигатель,Прокладки,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,EXT,Расширительный бачок,Охлаждение,Охлаждение,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,FAN,Вентилятор радиатора,Охлаждение,Охлаждение,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,RAD,Радиатор охлаждения,Охлаждение,Охлаждение,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,TSH,Корпус термостата,Охлаждение,Охлаждение,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,TST,Термостат,Охлаждение,Охлаждение,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,CAB,Сайлентблок переднего рычага,Подвеска,Сайлентблоки,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,RAB,Сайлентблок заднего рычага,Подвеска,Сайлентблоки,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,SBF,Втулка стабилизатора передняя,Подвеска,Стабилизатор,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,SBR,Втулка стабилизатора задняя,Подвеска,Стабилизатор,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,STM,Опора передней стойки,Подвеска,Передняя подвеска,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,ABK,Комплект ремня навесного оборудования,ТО,Ремни,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,ABR,Ролик ремня навесного оборудования,ТО,Ремни,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,ABT,Натяжитель ремня навесного оборудования,ТО,Ремни,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,FF,Топливный фильтр,ТО,Фильтры,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,ODP,Пробка сливная масляного поддона,ТО,Фильтры и жидкости,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,ODW,Шайба сливной пробки,ТО,Фильтры и жидкости,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,ATF,Фильтр АКПП,Трансмиссия,АКПП,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,ATG,Прокладка поддона АКПП,Трансмиссия,АКПП,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,ATP,Поддон АКПП,Трансмиссия,АКПП,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,CLK,Комплект сцепления,Трансмиссия,Сцепление,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,CRB,Выжимной подшипник,Трансмиссия,Сцепление,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,CVB,Пыльник ШРУС,Трансмиссия,Привод,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,CVJ,ШРУС наружный,Трансмиссия,Привод,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,HUR,Ступица задняя,Трансмиссия,Ступицы,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Acura,AC,TMM,Подушка КПП,Трансмиссия,Опоры,high,acurapartswarehouse.com (manual_check); hondaworld.ru (manual_check); hondapartsdeals.com (manual_check)
Audi,AU,CKP,Датчик положения коленвала,Двигатель,Датчики,high,trshop.audi.de (manual_check); partsale.eu (manual_check)
Audi,AU,CMP,Датчик положения распредвала,Двигатель,Датчики,high,trshop.audi.de (manual_check); partsale.eu (manual_check)
Audi,AU,CMS,Сальник распредвала,Двигатель,Сальники,high,trshop.audi.de (manual_check); partsale.eu (manual_check)
Audi,AU,EMB,Опора двигателя задняя,Двигатель,Опоры,high,trshop.audi.de (manual_check); partsale.eu (manual_check)
Audi,AU,EMG,Прокладка выпускного коллектора,Двигатель,Прокладки,high,trshop.audi.de (manual_check); partsale.eu (manual_check)
Audi,AU,EML,Опора двигателя левая,Двигатель,Опоры,high,trshop.audi.de (manual_check); partsale.eu (manual_check)
Audi,AU,EMR,Опора двигателя правая,Двигатель,Опоры,high,trshop.audi.de (manual_check); partsale.eu (manual_check)
Audi,AU,IMG,Прокладка впускного коллектора,Двигатель,Прокладки,high,trshop.audi.de (manual_check); partsale.eu (manual_check)
Audi,AU,MAF,Датчик массового расхода воздуха,Двигатель,Датчики,high,trshop.audi.de (manual_check); partsale.eu (manual_check)
Audi,AU,OPS,Датчик давления масла,Двигатель,Датчики,high,trshop.audi.de (manual_check); partsale.eu (manual_check)
Audi,AU,THB,Дроссельная заслонка,Двигатель,Впуск,high,trshop.audi.de (manual_check); partsale.eu (manual_check)
Audi,AU,RHU,Патрубок радиатора верхний,Охлаждение,Патрубки,high,trshop.audi.de (manual_check); partsale.eu (manual_check)
