brand,brand_prefix,part_code,part_name,category,group,priority,suggested_sources
Acura,AC,CMS,Сальник распредвала,Двигатель,Сальники,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,CSF,Сальник коленвала передний,Двигатель,Сальники,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,CSR,Сальник коленвала задний,Двигатель,Сальники,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,EMB,Опора двигателя задняя,Двигатель,Опоры,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,EMG,Прокладка выпускного коллектора,Двигатель,Прокладки,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,EML,Опора двигателя левая,Двигатель,Опоры,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,EMR,Опора двигателя правая,Двигатель,Опоры,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,IMG,Прокладка впускного коллектора,Двигатель,Прокладки,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,OPM,Масляный насос,Двигатель,Смазка,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,PCV,Клапан вентиляции картерных газов,Двигатель,Вентиляция,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,EXT,Расширительный бачок,Охлаждение,Охлаждение,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,FAN,Вентилятор радиатора,Охлаждение,Охлаждение,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,TSH,Корпус термостата,Охлаждение,Охлаждение,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,TST,Термостат,Охлаждение,Охлаждение,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,RAB,Сайлентблок заднего рычага,Подвеска,Сайлентблоки,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,SBF,Втулка стабилизатора передняя,Подвеска,Стабилизатор,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,SBR,Втулка стабилизатора задняя,Подвеска,Стабилизатор,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,ABK,Комплект ремня навесного оборудования,ТО,Ремни,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,ABR,Ролик ремня навесного оборудования,ТО,Ремни,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,ABT,Натяжитель ремня навесного оборудования,ТО,Ремни,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,FF,Топливный фильтр,ТО,Фильтры,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,ATG,Прокладка поддона АКПП,Трансмиссия,АКПП,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,ATP,Поддон АКПП,Трансмиссия,АКПП,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,CRB,Выжимной подшипник,Трансмиссия,Сцепление,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Acura,AC,TMM,Подушка КПП,Трансмиссия,Опоры,high,acurapartswarehouse.com (manual_check); japan-parts.eu; exist.ru; needet.ru (manual_check); hondaworld.ru (manual_check); emex.ru (partner_api_or_export)
Audi,AU,CKP,Датчик положения коленвала,Двигатель,Датчики,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,CMP,Датчик положения распредвала,Двигатель,Датчики,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,CMS,Сальник распредвала,Двигатель,Сальники,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,EMB,Опора двигателя задняя,Двигатель,Опоры,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,EMG,Прокладка выпускного коллектора,Двигатель,Прокладки,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,EML,Опора двигателя левая,Двигатель,Опоры,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,EMR,Опора двигателя правая,Двигатель,Опоры,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,IMG,Прокладка впускного коллектора,Двигатель,Прокладки,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,MAF,Датчик массового расхода воздуха,Двигатель,Датчики,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,OPS,Датчик давления масла,Двигатель,Датчики,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,THB,Дроссельная заслонка,Двигатель,Впуск,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,TSH,Корпус термостата,Охлаждение,Охлаждение,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,CAB,Сайлентблок переднего рычага,Подвеска,Сайлентблоки,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,RAB,Сайлентблок заднего рычага,Подвеска,Сайлентблоки,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,SBF,Втулка стабилизатора передняя,Подвеска,Стабилизатор,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,SBR,Втулка стабилизатора задняя,Подвеска,Стабилизатор,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,SR,Амортизатор задний,Подвеска,Задняя подвеска,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,STM,Опора передней стойки,Подвеска,Передняя подвеска,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,ODP,Пробка сливная масляного поддона,ТО,Фильтры и жидкости,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,ODW,Шайба сливной пробки,ТО,Фильтры и жидкости,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,CVB,Пыльник ШРУС,Трансмиссия,Привод,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
Audi,AU,HUR,Ступица задняя,Трансмиссия,Ступицы,high,partsale.eu (manual_check); elcats.ru (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
BMW,BM,SBR,Втулка стабилизатора задняя,Подвеска,Стабилизатор,high,realoem.com (manual_check); bmwcats.com (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
BMW,BM,ODW,Шайба сливной пробки,ТО,Фильтры и жидкости,high,realoem.com (manual_check); bmwcats.com (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
BMW,BM,CVB,Пыльник ШРУС,Трансмиссия,Привод,high,realoem.com (manual_check); bmwcats.com (manual_check); autoparts24.eu; alvadi.ee; exist.ru; emex.ru (partner_api_or_export)
