brand,brand_prefix,part_code,part_name,category,group,priority,suggested_sources
Geely,GL,ODP,Пробка сливная масляного поддона,ТО,Фильтры и жидкости,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,CKP,Датчик положения коленвала,Двигатель,Датчики,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,CMP,Датчик положения распредвала,Двигатель,Датчики,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,CMS,Сальник распредвала,Двигатель,Сальники,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,EMB,Опора двигателя задняя,Двигатель,Опоры,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,EMG,Прокладка выпускного коллектора,Двигатель,Прокладки,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,EML,Опора двигателя левая,Двигатель,Опоры,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,EMR,Опора двигателя правая,Двигатель,Опоры,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,HGG,Прокладка ГБЦ,Двигатель,Прокладки,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,IC,Катушка зажигания,Двигатель,Зажигание,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,IMG,Прокладка впускного коллектора,Двигатель,Прокладки,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,MAF,Датчик массового расхода воздуха,Двигатель,Датчики,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,MAP,Датчик абсолютного давления,Двигатель,Датчики,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,OPM,Масляный насос,Двигатель,Смазка,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,OPS,Датчик давления масла,Двигатель,Датчики,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,PCV,Клапан вентиляции картерных газов,Двигатель,Вентиляция,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,SP,Свеча зажигания,Двигатель,Зажигание,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,THB,Дроссельная заслонка,Двигатель,Впуск,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,TK,Ремень/цепь ГРМ комплект,Двигатель,ГРМ,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,VCG,Прокладка клапанной крышки,Двигатель,Прокладки,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,EXC,Крышка расширительного бачка,Охлаждение,Охлаждение,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,EXT,Расширительный бачок,Охлаждение,Охлаждение,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,TSH,Корпус термостата,Охлаждение,Охлаждение,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,SPF,Пружина передняя,Подвеска,Пружины,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,SPR,Пружина задняя,Подвеска,Пружины,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,AF,Воздушный фильтр,ТО,Фильтры,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,FF,Топливный фильтр,ТО,Фильтры,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,OF,Масляный фильтр,ТО,Фильтры,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,ATP,Поддон АКПП,Трансмиссия,АКПП,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,CLK,Комплект сцепления,Трансмиссия,Сцепление,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,CMC,Главный цилиндр сцепления,Трансмиссия,Сцепление,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,CRB,Выжимной подшипник,Трансмиссия,Сцепление,high,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,CAT,Катализатор,Выхлоп,Выхлоп,normal,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,MUF,Глушитель основной,Выхлоп,Выхлоп,normal,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,FPR,Регулятор давления топлива,Топливная система,Топливо,normal,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,FPU,Топливный насос,Топливная система,Топливо,normal,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,INJ,Форсунка топливная,Топливная система,Топливо,normal,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,INT,Интеркулер,Турбонаддув,Турбо,normal,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,TCV,Клапан управления турбиной,Турбонаддув,Турбо,normal,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,TUR,Турбокомпрессор,Турбонаддув,Турбо,normal,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,ALT,Генератор,Электрика,Зарядка,normal,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
Tesla,TS,STA,Стартер,Электрика,Пуск,normal,autoparts24.eu; exist.ru; parts.com (manual_check); usa-auto.ru (manual_check); findpart.org (manual_check); emex.ru (partner_api_or_export)
