brand,brand_prefix,part_code,part_name,category,group
Toyota,TY,HLL,Фара передняя левая,Кузов/свет,Оптика
Toyota,TY,HLR,Фара передняя правая,Кузов/свет,Оптика
Toyota,TY,TLL,Фонарь задний левый,Кузов/свет,Оптика
Toyota,TY,TLR,Фонарь задний правый,Кузов/свет,Оптика
Toyota,TY,BHF,Тормозной шланг передний,Тормоза,Гидравлика
Toyota,TY,BHR,Тормозной шланг задний,Тормоза,Гидравлика
Toyota,TY,BMC,Главный тормозной цилиндр,Тормоза,Гидравлика
Volkswagen,VW,ABK,Комплект ремня навесного оборудования,ТО,Ремни
Volkswagen,VW,ABR,Ролик ремня навесного оборудования,ТО,Ремни
Volkswagen,VW,ABT,Натяжитель ремня навесного оборудования,ТО,Ремни
Volkswagen,VW,EML,Опора двигателя левая,Двигатель,Опоры
Volkswagen,VW,EMR,Опора двигателя правая,Двигатель,Опоры
Volkswagen,VW,OPS,Датчик давления масла,Двигатель,Датчики
Volkswagen,VW,CKP,Датчик положения коленвала,Двигатель,Датчики
Volkswagen,VW,FBP,Бампер передний,Кузов/свет,Кузов
Volkswagen,VW,RBP,Бампер задний,Кузов/свет,Кузов
BMW,BM,IC,Катушка зажигания,Двигатель,Зажигание
BMW,BM,TK,Ремень/цепь ГРМ комплект,Двигатель,ГРМ
BMW,BM,WP,Водяной насос,Двигатель,Охлаждение
BMW,BM,BPF,Колодки тормозные передние,Тормоза,Тормозная система
BMW,BM,BPR,Колодки тормозные задние,Тормоза,Тормозная система
BMW,BM,BDF,Диск тормозной передний,Тормоза,Тормозная система
BMW,BM,BDR,Диск тормозной задний,Тормоза,Тормозная система
BMW,BM,ABS,Датчик ABS,Тормоза,Тормозная система
BMW,BM,SFL,Амортизатор передний левый,Подвеска,Передняя подвеска
BMW,BM,SFR,Амортизатор передний правый,Подвеска,Передняя подвеска
BMW,BM,SR,Амортизатор задний,Подвеска,Задняя подвеска
BMW,BM,CFL,Рычаг передний левый,Подвеска,Передняя подвеска
BMW,BM,CFR,Рычаг передний правый,Подвеска,Передняя подвеска
BMW,BM,SL,Стойка стабилизатора,Подвеска,Стабилизатор
BMW,BM,TEL,Рулевой наконечник левый,Рулевое,Рулевое управление
BMW,BM,TER,Рулевой наконечник правый,Рулевое,Рулевое управление
BMW,BM,CVB,Пыльник ШРУС,Трансмиссия,Привод
BMW,BM,HLL,Фара передняя левая,Кузов/свет,Оптика
BMW,BM,HLR,Фара передняя правая,Кузов/свет,Оптика
BMW,BM,TLL,Фонарь задний левый,Кузов/свет,Оптика
BMW,BM,TLR,Фонарь задний правый,Кузов/свет,Оптика
BMW,BM,ML,Зеркало левое,Кузов/свет,Кузов
BMW,BM,MR,Зеркало правое,Кузов/свет,Кузов
BMW,BM,ODW,Шайба сливной пробки,ТО,Фильтры и жидкости
BMW,BM,ALB,Ремень генератора,ТО,Ремни
BMW,BM,EML,Опора двигателя левая,Двигатель,Опоры
BMW,BM,EMR,Опора двигателя правая,Двигатель,Опоры
BMW,BM,MAF,Датчик массового расхода воздуха,Двигатель,Датчики
BMW,BM,SBR,Втулка стабилизатора задняя,Подвеска,Стабилизатор
Mercedes-Benz,MB,TER,Рулевой наконечник правый,Рулевое,Рулевое управление
Mercedes-Benz,MB,CVB,Пыльник ШРУС,Трансмиссия,Привод
Mercedes-Benz,MB,HLL,Фара передняя левая,Кузов/свет,Оптика
Mercedes-Benz,MB,HLR,Фара передняя правая,Кузов/свет,Оптика
Mercedes-Benz,MB,TLL,Фонарь задний левый,Кузов/свет,Оптика
Mercedes-Benz,MB,TLR,Фонарь задний правый,Кузов/свет,Оптика
Mercedes-Benz,MB,ML,Зеркало левое,Кузов/свет,Кузов
Mercedes-Benz,MB,MR,Зеркало правое,Кузов/свет,Кузов
