brand,brand_prefix,part_code,part_name,priority,oem_number,source_name,source_url,retrieved_at
Audi,AU,CKP,Датчик положения коленвала,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=CKP%20vag,2026-05-12T15:49:17Z
Audi,AU,CMP,Датчик положения распредвала,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=CMP%20vag,2026-05-12T15:49:19Z
Audi,AU,CMS,Сальник распредвала,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=CMS%20vag,2026-05-12T15:49:20Z
Audi,AU,EMB,Опора двигателя задняя,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=EMB%20vag,2026-05-12T15:49:21Z
Audi,AU,EMG,Прокладка выпускного коллектора,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=EMG%20vag,2026-05-12T15:49:22Z
Audi,AU,EML,Опора двигателя левая,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=EML%20vag,2026-05-12T15:49:23Z
Audi,AU,EMR,Опора двигателя правая,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=EMR%20vag,2026-05-12T15:49:24Z
Audi,AU,IMG,Прокладка впускного коллектора,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=IMG%20vag,2026-05-12T15:49:25Z
Audi,AU,MAF,Датчик массового расхода воздуха,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=MAF%20vag,2026-05-12T15:49:25Z
Audi,AU,OPS,Датчик давления масла,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=OPS%20vag,2026-05-12T15:49:26Z
Audi,AU,THB,Дроссельная заслонка,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=THB%20vag,2026-05-12T15:49:27Z
Audi,AU,TSH,Корпус термостата,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=TSH%20vag,2026-05-12T15:49:28Z
Audi,AU,CAB,Сайлентблок переднего рычага,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=CAB%20vag,2026-05-12T15:49:29Z
Audi,AU,RAB,Сайлентблок заднего рычага,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=RAB%20vag,2026-05-12T15:49:30Z
