brand,brand_prefix,part_code,part_name,priority,oem_number,source_name,source_url,retrieved_at
Audi,AU,CMP,Датчик положения распредвала,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=Audi%20CMP%20%D0%94%D0%B0%D1%82%D1%87%D0%B8%D0%BA%20%D0%BF%D0%BE%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%20%D1%80%D0%B0%D1%81%D0%BF%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D0%BB%D0%B0,2026-05-12T18:16:04Z
Audi,AU,EMB,Опора двигателя задняя,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=EMB%20volkswagen,2026-05-12T18:16:04Z
Audi,AU,EMG,Прокладка выпускного коллектора,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=EMG%20volkswagen,2026-05-12T18:16:04Z
Audi,AU,EMR,Опора двигателя правая,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=EMR%20volkswagen,2026-05-12T18:16:05Z
Audi,AU,THB,Дроссельная заслонка,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=THB%20audi,2026-05-12T18:16:05Z
Audi,AU,MAF,Датчик массового расхода воздуха,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=MAF%20volkswagen,2026-05-12T18:16:05Z
Audi,AU,EML,Опора двигателя левая,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=EML%20volkswagen,2026-05-12T18:16:05Z
Audi,AU,TSH,Корпус термостата,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=TSH%20audi,2026-05-12T18:16:06Z
Audi,AU,SBF,Втулка стабилизатора передняя,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=SBF%20vag,2026-05-12T18:16:06Z
Audi,AU,CAB,Сайлентблок переднего рычага,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=CAB%20vag,2026-05-12T18:16:06Z
Audi,AU,RAB,Сайлентблок заднего рычага,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=RAB%20vag,2026-05-12T18:16:06Z
Audi,AU,CMS,Сальник распредвала,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=CMS%20volkswagen,2026-05-12T18:16:07Z
Audi,AU,CVB,Пыльник ШРУС,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=CVB%20vag,2026-05-12T18:16:07Z
Audi,AU,OPS,Датчик давления масла,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=OPS%20audi,2026-05-12T18:16:07Z
Audi,AU,HUR,Ступица задняя,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=HUR%20vag,2026-05-12T18:16:07Z
Audi,AU,STM,Опора передней стойки,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=STM%20vag,2026-05-12T18:16:07Z
Audi,AU,IMG,Прокладка впускного коллектора,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=IMG%20volkswagen,2026-05-12T18:16:07Z
Audi,AU,ODP,Пробка сливная масляного поддона,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=ODP%20vag,2026-05-12T18:16:07Z
Audi,AU,SR,Амортизатор задний,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=SR%20vag,2026-05-12T18:16:07Z
Audi,AU,ODW,Шайба сливной пробки,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=ODW%20vag,2026-05-12T18:16:08Z
Audi,AU,CKP,Датчик положения коленвала,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=CKP%20volkswagen,2026-05-12T18:16:08Z
Audi,AU,SBR,Втулка стабилизатора задняя,high,G-3Z0088RGKJ,partsale.eu,https://partsale.eu/search?q=SBR%20vag,2026-05-12T18:16:09Z
Land Rover,LR,OPS,Датчик давления масла,high,2006-2014RANGE,new.lrcat.com:site_search,https://duckduckgo.com/html/?q=site%3Anew.lrcat.com%20OPS%20%D0%94%D0%B0%D1%82%D1%87%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BC%D0%B0%D1%81%D0%BB%D0%B0,2026-05-12T19:02:35Z
Mitsubishi,MI,HGG,Прокладка ГБЦ,high,3DC80A4102D,mitsubishi-autoparts.com.ua:site_search,https://duckduckgo.com/html/?q=site%3Amitsubishi-autoparts.com.ua%20HGG%20%D0%9F%D1%80%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%93%D0%91%D0%A6,2026-05-12T19:08:07Z
