brand,brand_prefix,part_code,oem_number,source_name,source_url,retrieved_at,model,year_from,year_to,engine,restyle,vin_pattern
Acura,AC,ABD,78510-0B6-768,emex,https://emex.ru/products/78510-0B6-768,2026-05-09T07:04:03Z,,,,,,
Acura,AC,ABD,78510-34D-308,emex,https://emex.ru/products/78510-34D-308,2026-05-09T07:03:09Z,,,,,,
Acura,AC,ABD,78510-6ED-283,emex,https://emex.ru/products/78510-6ED-283,2026-05-09T07:03:35Z,,,,,,
Acura,AC,ABP,78120-051-696,emex,https://emex.ru/products/78120-051-696,2026-05-09T07:05:29Z,,,,,,
Acura,AC,ABP,78120-9DF-279,emex,https://emex.ru/products/78120-9DF-279,2026-05-09T07:04:31Z,,,,,,
Acura,AC,ABP,78120-F72-272,emex,https://emex.ru/products/78120-F72-272,2026-05-09T07:05:00Z,,,,,,
Acura,AC,ABS,57455-TK4-A01,exist,https://www.exist.ru/Price/?pcode=57455-TK4-A01,2026-05-11T07:38:24Z,,,,,,
Acura,AC,ABS,57455-TZ3-A01,emex,https://emex.ru/products/57455-TZ3-A01,2026-05-11T07:39:10Z,,,,,,
Acura,AC,ACC,38810-TK4-A01,emex,https://emex.ru/products/38810-TK4-A01,2026-05-11T07:41:45Z,,,,,,
Acura,AC,ACC,38810-TZ3-A01,emex,https://emex.ru/products/38810-TZ3-A01,2026-05-11T07:42:54Z,,,,,,
Acura,AC,AF,17220-5LA-A10,emex,https://emex.ru/products/17220-5LA-A10,2026-05-11T07:47:05Z,,,,,,
Acura,AC,AF,17220-PNA-A00,emex,https://emex.ru/products/17220-PNA-A00/Honda,2026-05-11T07:47:56Z,,,,,,
Acura,AC,AF,17220-RYE-A00,exist,https://www.exist.ru/Price/?pcode=17220-RYE-A00,2026-05-11T07:48:46Z,,,,,,
Acura,AC,AFL,44306-616-932,emex,https://emex.ru/products/44306-616-932,2026-05-09T05:55:13Z,,,,,,
Acura,AC,AFL,44306-8B4-437,emex,https://emex.ru/products/44306-8B4-437,2026-05-09T05:54:42Z,,,,,,
Acura,AC,AFL,44306-CA8-912,emex,https://emex.ru/products/44306-CA8-912,2026-05-09T05:54:13Z,,,,,,
Acura,AC,AFR,44305-4C1-282,emex,https://emex.ru/products/44305-4C1-282,2026-05-09T05:56:43Z,,,,,,
Acura,AC,AFR,44305-981-479,emex,https://emex.ru/products/44305-981-479,2026-05-09T05:56:13Z,,,,,,
Acura,AC,AFR,44305-99A-129,emex,https://emex.ru/products/44305-99A-129,2026-05-09T05:55:42Z,,,,,,
Acura,AC,ALB,31110-RJA-004,emex,https://emex.ru/products/31110-RJA-004,2026-05-11T07:49:36Z,,,,,,
Acura,AC,ALB,31110-RYE-A01,emex,https://emex.ru/products/31110-RYE-A01,2026-05-11T07:50:12Z,,,,,,
Acura,AC,AMP,39186-58B-120,emex,https://emex.ru/products/39186-58B-120,2026-05-09T07:07:02Z,,,,,,
Acura,AC,AMP,39186-B12-870,emex,https://emex.ru/products/39186-B12-870,2026-05-09T07:06:03Z,,,,,,
Acura,AC,AMP,39186-CD3-258,emex,https://emex.ru/products/39186-CD3-258,2026-05-09T07:06:30Z,,,,,,
Acura,AC,APS,80450-017-816,emex,https://emex.ru/products/80450-017-816,2026-05-09T06:39:03Z,,,,,,
Acura,AC,APS,80450-C70-476,emex,https://emex.ru/products/80450-C70-476,2026-05-09T06:38:02Z,,,,,,
Acura,AC,APS,80450-D71-134,emex,https://emex.ru/products/80450-D71-134,2026-05-09T06:38:34Z,,,,,,
Acura,AC,ATS,28015-3DF-704,emex,https://emex.ru/products/28015-3DF-704,2026-05-09T04:52:00Z,,,,,,
Acura,AC,ATS,28015-41B-982,emex,https://emex.ru/products/28015-41B-982,2026-05-09T04:52:32Z,,,,,,
Acura,AC,ATS,28015-586-168,emex,https://emex.ru/products/28015-586-168,2026-05-09T04:51:25Z,,,,,,
Acura,AC,AUX,19200-372-546,emex,https://emex.ru/products/19200-372-546,2026-05-09T05:39:01Z,,,,,,
Acura,AC,AXS,91212-297-130,emex,https://emex.ru/products/91212-297-130,2026-05-09T05:59:50Z,,,,,,
Acura,AC,AXS,91212-ED0-103,emex,https://emex.ru/products/91212-ED0-103,2026-05-09T05:58:51Z,,,,,,
Acura,AC,AXS,91212-F2C-851,emex,https://emex.ru/products/91212-F2C-851,2026-05-09T05:59:21Z,,,,,,
Acura,AC,BCM,38850-41E-584,emex,https://emex.ru/products/38850-41E-584,2026-05-09T06:25:51Z,,,,,,
Acura,AC,BCM,38850-A05-947,emex,https://emex.ru/products/38850-A05-947,2026-05-09T06:25:21Z,,,,,,
Acura,AC,BCM,38850-D81-467,emex,https://emex.ru/products/38850-D81-467,2026-05-09T06:24:47Z,,,,,,
Acura,AC,BDF,45251-TK4-A00,emex,https://emex.ru/products/45251-TK4-A00/Honda,2026-05-11T07:52:53Z,,,,,,
Acura,AC,BDF,45251-TZ4-A30,emex,https://emex.ru/products/45251-TZ4-A30,2026-05-11T07:53:42Z,,,,,,
Acura,AC,BDR,42510-TK4-A00,emex,https://emex.ru/products/42510-TK4-A00/Honda,2026-05-11T07:54:36Z,,,,,,
Acura,AC,BDR,42510-TZ4-A00,emex,https://emex.ru/products/42510-TZ4-A00,2026-05-11T07:55:26Z,,,,,,
Acura,AC,BJT,51220-TK4-A01,emex,https://emex.ru/products/51220-TK4-A01,2026-05-11T07:56:28Z,,,,,,
Acura,AC,BJT,51220-TZ4-A01,emex,https://emex.ru/products/51220-TZ4-A01,2026-05-11T07:57:29Z,,,,,,
Acura,AC,BPF,45022-SDA-A40,emex,https://emex.ru/products/45022-SDA-A40,2026-05-11T08:02:25Z,,,,,,
Acura,AC,BPF,45022-TK4-A01,emex,https://emex.ru/products/45022-TK4-A01,2026-05-11T08:03:17Z,,,,,,
Acura,AC,BPF,45022-TZ4-A01,emex,https://emex.ru/products/45022-TZ4-A01,2026-05-11T08:04:05Z,,,,,,
Acura,AC,BPR,43022-TK4-A01,emex,https://emex.ru/products/43022-TK4-A01/Honda,2026-05-11T08:04:55Z,,,,,,
Acura,AC,BPR,43022-TZ4-A01,emex,https://emex.ru/products/43022-TZ4-A01,2026-05-11T08:05:47Z,,,,,,
Acura,AC,BPS,37250-320-137,emex,https://emex.ru/products/37250-320-137,2026-05-09T05:45:29Z,,,,,,
Acura,AC,BPS,37250-72C-579,emex,https://emex.ru/products/37250-72C-579,2026-05-09T05:45:56Z,,,,,,
Acura,AC,BPS,37250-9E6-845,emex,https://emex.ru/products/37250-9E6-845,2026-05-09T05:44:58Z,,,,,,
Acura,AC,BRF,45019-022-355,emex,https://emex.ru/products/45019-022-355,2026-05-09T06:04:02Z,,,,,,
Acura,AC,BRF,45019-0F7-174,emex,https://emex.ru/products/45019-0F7-174,2026-05-09T06:03:26Z,,,,,,
Acura,AC,BRF,45019-E75-776,emex,https://emex.ru/products/45019-E75-776,2026-05-09T06:04:29Z,,,,,,
Acura,AC,BWS,45215-38E-928,emex,https://emex.ru/products/45215-38E-928,2026-05-09T06:05:28Z,,,,,,
Acura,AC,BWS,45215-819-107,emex,https://emex.ru/products/45215-819-107,2026-05-09T06:05:00Z,,,,,,
Acura,AC,BWS,45215-E1B-962,emex,https://emex.ru/products/45215-E1B-962,2026-05-09T06:06:01Z,,,,,,
Acura,AC,CAT,18150-TK4-A01,emex,https://emex.ru/products/18150-TK4-A01,2026-05-11T08:06:37Z,,,,,,
Acura,AC,CAT,18150-TZ3-A01,emex,https://emex.ru/products/18150-TZ3-A01,2026-05-11T08:07:32Z,,,,,,
Acura,AC,CCM,79610-754-746,emex,https://emex.ru/products/79610-754-746,2026-05-09T06:40:07Z,,,,,,
Acura,AC,CCM,79610-7C2-633,emex,https://emex.ru/products/79610-7C2-633,2026-05-09T06:39:39Z,,,,,,
Acura,AC,CCM,79610-E31-708,emex,https://emex.ru/products/79610-E31-708,2026-05-09T06:40:35Z,,,,,,
Acura,AC,CF,80291-SDA-A01,emex,https://emex.ru/products/80291-SDA-A01,2026-05-11T08:08:20Z,,,,,,
Acura,AC,CF,80292-SEC-A01,emex,https://emex.ru/products/80292-SEC-A01/Honda,2026-05-11T08:09:30Z,,,,,,
Acura,AC,CF,80292-T2A-A41,emex,https://emex.ru/products/80292-T2A-A41,2026-05-11T08:10:41Z,,,,,,
Acura,AC,CFL,51360-TK4-A01,emex,https://emex.ru/products/51360-TK4-A01/Honda,2026-05-11T08:12:27Z,,,,,,
Acura,AC,CFL,51360-TZ3-A01,emex,https://emex.ru/products/51360-TZ3-A01/Honda,2026-05-11T08:13:26Z,,,,,,
Acura,AC,CFR,51350-TK4-A01,emex,https://emex.ru/products/51350-TK4-A01/Honda,2026-05-11T08:14:20Z,,,,,,
Acura,AC,CFR,51350-TZ3-A01,emex,https://emex.ru/products/51350-TZ3-A01/Honda,2026-05-11T08:15:11Z,,,,,,
Acura,AC,CLD,22200-2F7-707,emex,https://emex.ru/products/22200-2F7-707,2026-05-09T05:53:38Z,,,,,,
Acura,AC,CLD,22200-731-622,emex,https://emex.ru/products/22200-731-622,2026-05-09T05:52:38Z,,,,,,
Acura,AC,CLD,22200-F6A-392,emex,https://emex.ru/products/22200-F6A-392,2026-05-09T05:53:08Z,,,,,,
Acura,AC,CNF,17315-03F-835,emex,https://emex.ru/products/17315-03F-835,2026-05-09T05:42:59Z,,,,,,
Acura,AC,CNF,17315-830-371,emex,https://emex.ru/products/17315-830-371,2026-05-09T05:42:00Z,,,,,,
Acura,AC,CNF,17315-84D-967,emex,https://emex.ru/products/17315-84D-967,2026-05-09T05:42:29Z,,,,,,
Acura,AC,CPP,22300-093-114,emex,https://emex.ru/products/22300-093-114,2026-05-09T05:51:01Z,,,,,,
Acura,AC,CPP,22300-4DB-718,emex,https://emex.ru/products/22300-4DB-718,2026-05-09T05:52:06Z,,,,,,
Acura,AC,CPP,22300-CD5-735,emex,https://emex.ru/products/22300-CD5-735,2026-05-09T05:51:38Z,,,,,,
