brand_prefix,part_code,oem_number,source_name,source_url,retrieved_at,brand,model,year_from,year_to,engine,restyle,vin_pattern
BM,CKP,12141720307,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-crankshaft_engine_speed_sensor-12141720307.html,2026-05-11T05:44:37Z,BMW,750iL; 850Ci; 850CSi; 850i,1988,1995,,,
BM,CKP,12141729292,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-crankshaft_engine_speed_sensor-12141729292.html,2026-05-11T05:44:40Z,BMW,530i; 540i; 740i; 740iL,1993,1995,,,
BM,CKP,12141731887,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-crankshaft_engine_speed_sensor-12141731887.html,2026-05-11T05:44:54Z,BMW,530i; 540i; 740i; 740iL,1993,1995,,,
BM,CKP,12142295386,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-crankshaft_speed_sensor-12142295386.html,2026-05-11T05:44:53Z,BMW,,,,,,
BM,CKP,12142336620,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-crankshaft_engine_speed_sensor-12142336620.html,2026-05-11T05:43:47Z,BMW,760i; 760Li,2003,2008,,,
BM,CKP,12147503140,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-crankshaft_engine_speed_sensor-12147503140.html,2026-05-11T05:44:49Z,BMW,745Li; 750i; 750Li,2002,2008,,,
BM,CKP,12517567686,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-adapter_crankshaft_sensor-12517567686.html,2026-05-11T05:43:43Z,BMW,545i; 550i; 645Ci; 650i,2002,2008,,,
BM,CKP,13627548994,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-crankshaft_engine_speed_sensor-13627548994.html,2026-05-11T05:43:49Z,BMW,M3,2001,2006,,,
BM,CKP,13627548995,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-crankshaft_engine_speed_sensor-13627548995.html,2026-05-11T05:43:54Z,BMW,550i; 550i GT; 550i GT xDrive; 550i xDrive,2006,2013,,,
BM,CKP,13627561753,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-crankshaft_sensor-13627561753.html,2026-05-11T05:44:42Z,BMW,,,,,,
BM,CKP,13627582842,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-crankshaft_sensor-13627582842.html,2026-05-11T05:43:53Z,BMW,135i; 335i; 335i GT xDrive; 335i xDrive,2010,2017,,,
