brand_prefix,part_code,oem_number,source_name,source_url,retrieved_at,brand,model,year_from,year_to,engine,restyle,vin_pattern
BU,CVB,23218688,GMPartsGiant,https://www.gmpartsgiant.com/parts/gm-boot-kit-rr-whl-drv-shf-cv-jt-23218688.html,2026-05-11T06:03:20Z,Buick,Enclave,2014,2017,SPORT UTILITY VEHICLE AWD; SPORT UTILITY VEHICLE 4WD,,
BU,CVB,38026971,GMPartsGiant,https://www.gmpartsgiant.com/parts/gm-boot-kit-frt-whl-drv-shf-cv-jt-38026971.html,2026-05-11T06:03:19Z,Buick,Envision,2016,2018,"4 DOOR PREMIUM, 4 DOOR PREMIUM 2",,
BU,CVB,42721976,GMPartsGiant,https://www.gmpartsgiant.com/parts/gm-boot-kit-frt-whl-drv-shf-tri-pot-cv-jt-42721976.html,2026-05-11T06:03:42Z,Buick,Encore GX,2020,2023,"4 DOOR EXT, 4 DOOR EXT , 4DOOR EXT , GX LEVEL IV 4 DOOR EXT, LEVEL II 4 DOOR EXTENDED, LEVEL II 4 DOOR MPV, LEVEL III 4 DOOR EXTENDED, LEVEL III 4 DOOR MPV, LEVEL IV 4 DOOR EXTENDED, LEVEL IV 4 DOOR MPV; 4 DOOR EXT, LEVEL II 4 DOOR EXTENDED, LEVEL III 4DOOR EXTENDED, LEVEL IV 4 DOOR EXTENDED, LEVEL V 4 DOOR EXTENDED",,
BU,CVB,42721984,GMPartsGiant,https://www.gmpartsgiant.com/parts/gm-boot-kit-frt-whl-drv-shf-tri-pot-cv-jt-42721984.html,2026-05-11T06:03:42Z,Buick,Encore GX,2020,2025,"4 DOOR EXT, 4 DOOR EXT , 4DOOR EXT , GX LEVEL IV 4 DOOR EXT, LEVEL II 4 DOOR EXTENDED, LEVEL II 4 DOOR MPV, LEVEL II 4 DOOR SUV, LEVEL III 4 DOOR EXTENDED, LEVEL III 4 DOOR MPV, LEVEL III 4 DOOR SUV, LEVEL IV 4 DOOR EXTENDED, LEVEL IV 4 DOOR MPV, LEVEL IV 4 DOOR SUV; 4 DOOR EXT, LEVEL II 4 DOOR EXTENDED, LEVEL III 4DOOR EXTENDED, LEVEL IV 4 DOOR EXTENDED, LEVEL V 4 DOOR EXTENDED",,
BU,CVB,42722013,GMPartsGiant,https://www.gmpartsgiant.com/parts/gm-boot-kit-rr-whl-drv-shf-cv-tri-pot-jt-42722013.html,2026-05-11T06:03:50Z,Buick,Encore GX,2020,2023,"4 DOOR EXT, 4DOOR EXT , GX LEVEL IV 4 DOOR EXT, LEVEL II 4 DOOR EXTENDED, LEVEL II 4 DOOR MPV, LEVEL III 4 DOOR EXTENDED, LEVEL III 4 DOOR MPV, LEVEL IV 4 DOOR EXTENDED, LEVEL IV 4 DOOR MPV; 4 DOOR EXT, LEVEL II 4 DOOR EXTENDED, LEVEL III 4DOOR EXTENDED, LEVEL IV 4 DOOR EXTENDED, LEVEL V 4 DOOR EXTENDED",,
BU,CVB,42722017,GMPartsGiant,https://www.gmpartsgiant.com/parts/gm-boot-kit-rr-whl-drv-shf-cv-tri-pot-jt-42722017.html,2026-05-11T06:03:50Z,Buick,Encore GX,2020,2023,"4 DOOR EXT, 4DOOR EXT , GX LEVEL IV 4 DOOR EXT, LEVEL II 4 DOOR EXTENDED, LEVEL II 4 DOOR MPV, LEVEL III 4 DOOR EXTENDED, LEVEL III 4 DOOR MPV, LEVEL IV 4 DOOR EXTENDED, LEVEL IV 4 DOOR MPV; 4 DOOR EXT, LEVEL II 4 DOOR EXTENDED, LEVEL III 4DOOR EXTENDED, LEVEL IV 4 DOOR EXTENDED, LEVEL V 4 DOOR EXTENDED",,
BU,CVB,42756982,GMPartsGiant,https://www.gmpartsgiant.com/parts/gm-boot-kit-frt-whl-drv-shf-tri-pot-cv-jt-42756982.html,2026-05-11T06:03:51Z,Buick,Encore GX,2020,2025,"4 DOOR EXT, 4 DOOR EXT , 4DOOR EXT , GX LEVEL IV 4 DOOR EXT, LEVEL II 4 DOOR EXTENDED, LEVEL II 4 DOOR MPV, LEVEL II 4 DOOR SUV, LEVEL III 4 DOOR EXTENDED, LEVEL III 4 DOOR MPV, LEVEL III 4 DOOR SUV, LEVEL IV 4 DOOR EXTENDED, LEVEL IV 4 DOOR MPV, LEVEL IV 4 DOOR SUV; 4 DOOR EXT, LEVEL II 4 DOOR EXTENDED, LEVEL III 4DOOR EXTENDED, LEVEL IV 4 DOOR EXTENDED, LEVEL V 4 DOOR EXTENDED",,
BU,CVB,42871670,GMPartsGiant,https://www.gmpartsgiant.com/parts/gm-boot-kit-rr-whl-drv-shf-cv-tri-pot-jt-42871670.html,2026-05-11T06:04:07Z,Buick,Encore GX,2023,2025,"LEVEL II 4 DOOR MPV, LEVEL II 4 DOOR SUV, LEVEL III 4 DOOR MPV, LEVEL III 4 DOOR SUV, LEVEL IV 4 DOOR MPV, LEVEL IV 4 DOOR SUV; 4 DOOR EXT, LEVEL II 4 DOOR EXTENDED, LEVEL III 4DOOR EXTENDED, LEVEL IV 4 DOOR EXTENDED, LEVEL V 4 DOOR EXTENDED",,
BU,CVB,42871671,GMPartsGiant,https://www.gmpartsgiant.com/parts/gm-boot-kit-rr-whl-drv-shf-cv-tri-pot-jt-42871671.html,2026-05-11T06:04:08Z,Buick,Encore GX,2023,2025,"LEVEL II 4 DOOR MPV, LEVEL II 4 DOOR SUV, LEVEL III 4 DOOR MPV, LEVEL III 4 DOOR SUV, LEVEL IV 4 DOOR MPV, LEVEL IV 4 DOOR SUV; 4 DOOR EXT, LEVEL II 4 DOOR EXTENDED, LEVEL III 4DOOR EXTENDED, LEVEL IV 4 DOOR EXTENDED, LEVEL V 4 DOOR EXTENDED",,
BU,CVB,42905407,GMPartsGiant,https://www.gmpartsgiant.com/parts/gm-boot-kit-frt-whl-drv-shf-tri-pot-cv-jt-42905407.html,2026-05-11T06:04:20Z,Buick,LaCrosse,2019,2019,"4 DOOR CX EXT NOTCHBACK, 4 DOOR CXL EXT NOTCHBACK, 4 DOOR CXS EXT NOTCHBACK; All Purpose 4 Door Base, ALL PURPOSE 4 DOOR BASE, All Purpose 4 Door Luxury, ALL PURPOSE 4 DOOR LUXURY, All Purpose 4 Door Sport, ALL PURPOSE 4 DOOR SPORT",,
