brand_prefix,part_code,oem_number,source_name,source_url,retrieved_at,brand,model,year_from,year_to,engine,restyle,vin_pattern
AC,CKP,8-97104-309-0,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~sensor~crankshaft~position~8-97104-309-0.html,2026-05-10T15:50:26Z,Acura,SLX,1996,1997,"KA 4AT, KL 4AT",,
AC,CKP,8-97136-125-1,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~sensor~crankshaft~position~8-97136-125-1.html,2026-05-10T15:50:40Z,Acura,SLX,1998,1999,"KA 4AT, KL 4AT",,
AC,CMP,8-10456-148-0,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~sensor~camshaft~position~8-10456-148-0.html,2026-05-10T15:50:30Z,Acura,SLX,1996,1997,"KA 4AT, KL 4AT",,
AC,CMP,8-10456-541-0,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~sensor~camshaft~position~8-10456-541-0.html,2026-05-10T15:50:41Z,Acura,SLX,1998,1999,"KA 4AT, KL 4AT",,
AC,CMP,8-10456-598-0,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~sensor~camshaft~position~8-10456-598-0.html,2026-05-10T15:50:46Z,Acura,,,,,,
AC,CVB,42017-SL0-000,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~cv~boot~set~joint~42017-sl0-000.html,2026-05-10T15:50:33Z,Acura,,,,,,
AC,CVB,44017-S0A-010,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~cv~boot~set~inboard~44017-s0a-010.html,2026-05-10T15:50:43Z,Acura,,,,,,
AC,CVB,44017-S0A-020,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~cv~boot~set~inboard~44017-s0a-020.html,2026-05-10T15:50:46Z,Acura,,,,,,
AC,CVB,44017-S84-A51,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~cv~boot~set~inboard~44017-s84-a51.html,2026-05-10T15:50:50Z,Acura,,,,,,
AC,CVB,44017-S87-A51,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~cv~boot~set~inboard~44017-s87-a51.html,2026-05-10T15:50:52Z,Acura,,,,,,
AC,CVB,44017-SD4-A00,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~cv~boot~set~inboard~44017-sd4-a00.html,2026-05-10T15:50:54Z,Acura,Legend,1986,1990,"KA 4AT, KA 5MT, KL 4AT, KL 5MT",,
AC,ODP,8-97020-858-0,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~plug~oil~drain~8-97020-858-0.html,2026-05-10T15:50:44Z,Acura,,,,,,
AC,ODP,8-97365-374-0,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~plug~oil~drain~8-97365-374-0.html,2026-05-10T15:50:35Z,Acura,SLX,1996,1999,"KA 4AT, KL 4AT",,
AC,ODP,9-09662-004-0,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~plug~oil~drain~9-09662-004-0.html,2026-05-10T15:50:47Z,Acura,SLX,1996,1999,"KA 4AT, KL 4AT",,
AC,ODW,90471-P5H-000,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~washer~drain~plug~34mm~90471-p5h-000.html,2026-05-10T15:50:51Z,Acura,RL; TL,1996,2004,"KA 4AT; KA 4AT, KL 4AT",,
