brand,brand_prefix,part_code,part_name,priority,oem_number,source_name,source_url,retrieved_at
BMW,BM,CKP,Датчик положения коленвала,high,0X2969,realoem.com,https://www.realoem.com/bmw/enUS/select?q=BMW%20CKP%20%D0%94%D0%B0%D1%82%D1%87%D0%B8%D0%BA%20%D0%BF%D0%BE%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD%D0%B2%D0%B0%D0%BB%D0%B0,2026-05-12T09:02:35Z
BMW,BM,OPS,Датчик давления масла,high,0X2969,realoem.com,https://www.realoem.com/bmw/enUS/select?q=BMW%20OPS%20%D0%94%D0%B0%D1%82%D1%87%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BC%D0%B0%D1%81%D0%BB%D0%B0,2026-05-12T09:02:35Z
BMW,BM,SBR,Втулка стабилизатора задняя,high,0X2969,realoem.com,https://www.realoem.com/bmw/enUS/select?q=BMW%20SBR%20%D0%92%D1%82%D1%83%D0%BB%D0%BA%D0%B0%20%D1%81%D1%82%D0%B0%D0%B1%D0%B8%D0%BB%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D0%B0%20%D0%B7%D0%B0%D0%B4%D0%BD%D1%8F%D1%8F,2026-05-12T09:02:35Z
BMW,BM,ODP,Пробка сливная масляного поддона,high,0X2969,realoem.com,https://www.realoem.com/bmw/enUS/select?q=BMW%20ODP%20%D0%9F%D1%80%D0%BE%D0%B1%D0%BA%D0%B0%20%D1%81%D0%BB%D0%B8%D0%B2%D0%BD%D0%B0%D1%8F%20%D0%BC%D0%B0%D1%81%D0%BB%D1%8F%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BF%D0%BE%D0%B4%D0%B4%D0%BE%D0%BD%D0%B0,2026-05-12T09:02:35Z
BMW,BM,CVB,Пыльник ШРУС,high,0X2969,realoem.com,https://www.realoem.com/bmw/enUS/select?q=BMW%20CVB%20%D0%9F%D1%8B%D0%BB%D1%8C%D0%BD%D0%B8%D0%BA%20%D0%A8%D0%A0%D0%A3%D0%A1,2026-05-12T09:02:35Z
BMW,BM,ODW,Шайба сливной пробки,high,0X2969,realoem.com,https://www.realoem.com/bmw/enUS/select?q=BMW%20ODW%20%D0%A8%D0%B0%D0%B9%D0%B1%D0%B0%20%D1%81%D0%BB%D0%B8%D0%B2%D0%BD%D0%BE%D0%B9%20%D0%BF%D1%80%D0%BE%D0%B1%D0%BA%D0%B8,2026-05-12T09:02:35Z
Mini,MN,CMS,Сальник распредвала,high,0X2969,realoem.com,https://www.realoem.com/bmw/enUS/select?q=Mini%20CMS%20%D0%A1%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%BA%20%D1%80%D0%B0%D1%81%D0%BF%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D0%BB%D0%B0,2026-05-12T09:03:43Z
Mini,MN,CSF,Сальник коленвала передний,high,0X2969,realoem.com,https://www.realoem.com/bmw/enUS/select?q=Mini%20CSF%20%D0%A1%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%BA%20%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD%D0%B2%D0%B0%D0%BB%D0%B0%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%D0%BD%D0%B8%D0%B9,2026-05-12T09:03:44Z
Mini,MN,CSR,Сальник коленвала задний,high,0X2969,realoem.com,https://www.realoem.com/bmw/enUS/select?q=Mini%20CSR%20%D0%A1%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%BA%20%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD%D0%B2%D0%B0%D0%BB%D0%B0%20%D0%B7%D0%B0%D0%B4%D0%BD%D0%B8%D0%B9,2026-05-12T09:03:44Z
Mini,MN,EMB,Опора двигателя задняя,high,0X2969,realoem.com,https://www.realoem.com/bmw/enUS/select?q=Mini%20EMB%20%D0%9E%D0%BF%D0%BE%D1%80%D0%B0%20%D0%B4%D0%B2%D0%B8%D0%B3%D0%B0%D1%82%D0%B5%D0%BB%D1%8F%20%D0%B7%D0%B0%D0%B4%D0%BD%D1%8F%D1%8F,2026-05-12T09:03:44Z
Mini,MN,EMR,Опора двигателя правая,high,0X2969,realoem.com,https://www.realoem.com/bmw/enUS/select?q=Mini%20EMR%20%D0%9E%D0%BF%D0%BE%D1%80%D0%B0%20%D0%B4%D0%B2%D0%B8%D0%B3%D0%B0%D1%82%D0%B5%D0%BB%D1%8F%20%D0%BF%D1%80%D0%B0%D0%B2%D0%B0%D1%8F,2026-05-12T09:03:44Z
Mini,MN,IMG,Прокладка впускного коллектора,high,0X2969,realoem.com,https://www.realoem.com/bmw/enUS/select?q=Mini%20IMG%20%D0%9F%D1%80%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0%20%D0%B2%D0%BF%D1%83%D1%81%D0%BA%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BA%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%82%D0%BE%D1%80%D0%B0,2026-05-12T09:03:44Z
Mini,MN,EML,Опора двигателя левая,high,0X2969,realoem.com,https://www.realoem.com/bmw/enUS/select?q=Mini%20EML%20%D0%9E%D0%BF%D0%BE%D1%80%D0%B0%20%D0%B4%D0%B2%D0%B8%D0%B3%D0%B0%D1%82%D0%B5%D0%BB%D1%8F%20%D0%BB%D0%B5%D0%B2%D0%B0%D1%8F,2026-05-12T09:03:44Z
Mini,MN,MAP,Датчик абсолютного давления,high,0X2969,realoem.com,https://www.realoem.com/bmw/enUS/select?q=Mini%20MAP%20%D0%94%D0%B0%D1%82%D1%87%D0%B8%D0%BA%20%D0%B0%D0%B1%D1%81%D0%BE%D0%BB%D1%8E%D1%82%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%B4%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F,2026-05-12T09:03:44Z
