brand_prefix,model,year_from,year_to,engine,source_name,source_url,retrieved_at
BM,3 Series,2012,2018,N20,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768177Z
BM,3 Series,2012,2018,N26,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768193Z
BM,3 Series,2012,2018,M235i,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768197Z
BM,3 Series,2019,2025,B48,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768199Z
BM,3 Series,2019,2025,B48A,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768201Z
BM,5 Series,2010,2016,N52,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768203Z
BM,5 Series,2010,2016,N55,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768205Z
BM,5 Series,2017,2023,B58,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768207Z
BM,7 Series,2009,2015,N52,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768208Z
BM,7 Series,2009,2015,N55,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768210Z
BM,7 Series,2009,2015,N63,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768212Z
BM,7 Series,2016,2025,B58,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768214Z
BM,7 Series,2016,2025,N63TT,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768216Z
BM,X3,2011,2017,N20,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768218Z
BM,X3,2011,2017,N26,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768219Z
BM,X3,2011,2017,N55,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768221Z
BM,X3,2018,2025,B48,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768223Z
BM,X3,2018,2025,B58,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768224Z
BM,X5,2007,2013,N55,epc_BM,https://epc-BM.example.com,2026-05-11T07:12:47.768227Z
