brand_prefix,model,year_from,year_to,engine,source_name,source_url,retrieved_at
BM,3 Series,2012,2018,N20,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281833Z
BM,3 Series,2012,2018,N26,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281875Z
BM,3 Series,2012,2018,M235i,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281889Z
BM,3 Series,2019,2025,B48,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281896Z
BM,3 Series,2019,2025,B48A,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281903Z
BM,5 Series,2010,2016,N52,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281909Z
BM,5 Series,2010,2016,N55,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281916Z
BM,5 Series,2017,2023,B58,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281922Z
BM,7 Series,2009,2015,N52,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281928Z
BM,7 Series,2009,2015,N55,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281935Z
BM,7 Series,2009,2015,N63,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281941Z
BM,7 Series,2016,2025,B58,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281947Z
BM,7 Series,2016,2025,N63TT,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281953Z
BM,X3,2011,2017,N20,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281960Z
BM,X3,2011,2017,N26,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281965Z
BM,X3,2011,2017,N55,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281978Z
BM,X3,2018,2025,B48,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281984Z
BM,X3,2018,2025,B58,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281990Z
BM,X5,2007,2013,N55,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.281997Z
BM,X5,2007,2013,N63,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.282003Z
BM,X5,2014,2025,B58,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.282013Z
BM,X5,2014,2025,N63TT,epc_BM,https://epc-BM.example.com,2026-05-16T08:47:10.282019Z
TY,Camry,2012,2017,2AR-FE,epc_TY,https://epc-TY.example.com,2026-05-16T08:47:10.282060Z
TY,Camry,2012,2017,2GR-FE,epc_TY,https://epc-TY.example.com,2026-05-16T08:47:10.282066Z
TY,Camry,2018,2025,A25A-FKS,epc_TY,https://epc-TY.example.com,2026-05-16T08:47:10.282072Z
TY,Camry,2018,2025,8AR-FTS,epc_TY,https://epc-TY.example.com,2026-05-16T08:47:10.282079Z
TY,Corolla,2014,2019,1ZR-FE,epc_TY,https://epc-TY.example.com,2026-05-16T08:47:10.282085Z
TY,Corolla,2014,2019,2ZR-FAE,epc_TY,https://epc-TY.example.com,2026-05-16T08:47:10.282091Z
TY,Corolla,2020,2025,1ZR-FE,epc_TY,https://epc-TY.example.com,2026-05-16T08:47:10.282097Z
TY,Corolla,2020,2025,2ZR-FAE,epc_TY,https://epc-TY.example.com,2026-05-16T08:47:10.282103Z
TY,RAV4,2013,2018,2AR-FE,epc_TY,https://epc-TY.example.com,2026-05-16T08:47:10.282109Z
TY,RAV4,2013,2018,2GR-FE,epc_TY,https://epc-TY.example.com,2026-05-16T08:47:10.282115Z
TY,RAV4,2019,2025,A25A-FKS,epc_TY,https://epc-TY.example.com,2026-05-16T08:47:10.282121Z
TY,RAV4,2019,2025,8AR-FTS,epc_TY,https://epc-TY.example.com,2026-05-16T08:47:10.282128Z
TY,Highlander,2014,2019,2GR-FE,epc_TY,https://epc-TY.example.com,2026-05-16T08:47:10.282134Z
TY,Highlander,2014,2019,2GR-FKS,epc_TY,https://epc-TY.example.com,2026-05-16T08:47:10.282155Z
TY,Highlander,2020,2025,A25A-FKS,epc_TY,https://epc-TY.example.com,2026-05-16T08:47:10.282161Z
LX,ES,2013,2021,2AR-FSE,epc_LX,https://epc-LX.example.com,2026-05-16T08:47:10.282193Z
LX,ES,2013,2021,8AR-FSE,epc_LX,https://epc-LX.example.com,2026-05-16T08:47:10.282199Z
LX,ES,2022,2025,A25A-FXS,epc_LX,https://epc-LX.example.com,2026-05-16T08:47:10.282205Z
LX,RX,2016,2023,8AR-FTS,epc_LX,https://epc-LX.example.com,2026-05-16T08:47:10.282211Z
LX,RX,2016,2023,2GR-FE,epc_LX,https://epc-LX.example.com,2026-05-16T08:47:10.282218Z
LX,RX,2024,2025,T24A-FTS,epc_LX,https://epc-LX.example.com,2026-05-16T08:47:10.282224Z
LX,GX,2010,2021,3GR-FSE,epc_LX,https://epc-LX.example.com,2026-05-16T08:47:10.282230Z
LX,GX,2022,2025,3GR-FSE,epc_LX,https://epc-LX.example.com,2026-05-16T08:47:10.282237Z
LX,GX,2022,2025,TT V35A,epc_LX,https://epc-LX.example.com,2026-05-16T08:47:10.282244Z
LX,NX,2015,2021,8AR-FTS,epc_LX,https://epc-LX.example.com,2026-05-16T08:47:10.282254Z
LX,NX,2015,2021,2AR-FSE,epc_LX,https://epc-LX.example.com,2026-05-16T08:47:10.282260Z
LX,NX,2022,2025,M20A-FKS,epc_LX,https://epc-LX.example.com,2026-05-16T08:47:10.282266Z
